Price,Open,High,Low,Close,Volume
Ticker,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS
Date,,,,,
2006-03-16,73.3087614855118,75.76878919887348,73.06275937103958,75.62118530273438,77186860
2006-03-17,75.76880755129926,76.94469938839713,75.08983997442557,76.26573181152344,55913414
2006-03-20,76.42806026143529,76.75278087959428,75.81797173520917,76.56089782714844,21719690
2006-03-21,76.7528017930162,78.22882112803252,76.21159842573941,76.79708099365234,38242210
2006-03-22,77.04306561510604,77.39239236691638,74.64700372762539,76.01477813720703,44707366
2006-03-23,76.90039298055423,77.19067426091773,75.63593660409032,76.49202728271484,33847162
2006-03-24,76.35918023045276,77.24479033760981,76.35918023045276,76.96926879882812,24725660
2006-03-27,77.34321108119812,78.49450314451575,77.34321108119812,78.16485595703125,26706864
2006-03-28,78.22882323486242,78.42561968743419,77.50065008578707,77.8204574584961,16031818
2006-03-29,78.32721463123141,78.50433799174128,77.46620395174786,78.1058120727539,16167392
2006-03-30,78.32721844135706,79.39979190972146,77.54001295549968,78.29769897460938,28515650
2006-03-31,78.71592019716212,79.50804575152767,77.54002836154861,78.26327514648438,73076882
2006-04-03,78.81920729010537,81.96804175554324,78.81920729010537,81.55475616455078,44027176
2006-04-04,81.77124094120134,82.9520522547842,81.67775607699022,82.33704376220703,34384454
2006-04-05,82.95206443632318,83.14886744559401,82.1648589678794,82.70606231689453,39932982
2006-04-07,83.09967766004675,83.27680104512946,81.63841794391476,82.01234436035156,37107883
2006-04-10,81.9680410702968,82.82412513746621,81.09719070412258,82.287841796875,40280750
2006-04-12,82.17469886939455,84.49696255748538,80.79708437180578,81.54985046386719,82064393
2006-04-13,81.67283907873593,83.926217009924,81.3973109773702,83.29645538330078,76596896
2006-04-17,83.64087009176819,84.32967732678011,83.25710390256575,83.78355407714844,26106094
2006-04-18,84.01478841833837,88.1427115224174,84.01478841833837,87.70482635498047,71843982
2006-04-19,88.45267007494225,91.70974266716146,87.97050572638813,90.7060546875,93268219
2006-04-20,92.00496365009913,98.37151289474558,92.00496365009913,97.6679458618164,130476958
2006-04-21,98.40102869601996,99.18824076167375,93.82537991248658,95.93608093261719,75692148
2006-04-24,95.9409956829737,98.35182429355592,95.05539200971106,96.15747833251953,58418086
2006-04-25,96.18700438687283,96.92501073239923,93.57937276991765,93.98281860351562,30839609
2006-04-26,94.46497644102907,96.62979621771639,93.69253077271887,96.30015563964844,41957400
2006-04-27,96.62982008624546,103.32109062993561,96.62982008624546,98.1993179321289,86212039
2006-04-28,96.9250262056616,99.4834525531013,95.54741151329864,99.27680969238281,54765263
2006-05-02,100.86104725320725,102.62242127893762,100.7626424697493,101.4662094116211,26648041
2006-05-03,101.47114633351323,102.5338734374792,100.47729141836894,101.89918518066406,23390951
2006-05-04,102.53385381400497,110.28784922078938,102.33705083314021,106.29277038574219,124128451
2006-05-05,106.63718961778518,109.12673677633882,106.46990607934403,108.16732788085938,52275053
2006-05-08,109.71713615652892,115.03079740221102,109.42193494353742,113.65318298339844,67921200
2006-05-09,114.14518142532938,115.09967033504897,111.7835587034831,113.56460571289062,63383719
2006-05-10,114.14519871115473,115.62121149367215,111.90656684392097,115.10952758789062,89270042
2006-05-11,115.62119331187388,116.54616275327065,108.33951563178589,109.24972534179688,106032727
2006-05-12,110.26326896272779,110.26326896272779,104.00988488933358,104.97913360595703,74881301
2006-05-15,105.28907835279972,105.28907835279972,99.53753921109092,100.53138732910156,85087660
2006-05-16,100.85613735606098,103.80324957479945,96.0394063210255,102.70115661621094,109591379
2006-05-17,105.21038576617124,107.44900453944238,103.81309153638584,106.8832015991211,51148724
2006-05-18,104.79708775159233,105.26941232107696,97.66301353316226,98.87334442138672,83552753
2006-05-19,99.38502093514128,104.3050758338987,94.61257648532245,96.24603271484375,122474060
2006-05-22,97.90900963081364,98.30261560410862,82.65685370497931,91.45390319824219,112969668
2006-05-23,92.39855892883195,96.43300402385303,90.64702470203135,95.16362762451172,73477471
2006-05-24,95.64579081187307,95.64579081187307,85.11687966635594,92.35427856445312,100243526
2006-05-25,92.92991498878877,94.66177600228012,90.77493511138366,93.48096466064453,79605105
2006-05-26,94.46499435618114,97.59415004484772,93.73190783355007,94.31739044189453,58021662
2006-05-29,94.66179627821917,96.23621392717618,93.5793829129412,94.06646728515625,32605426
2006-05-30,94.4354757198359,96.18701678607424,92.98898230790397,93.96807098388672,31027558
2006-05-31,92.30015850016024,94.75033970835234,89.74173268822938,93.88933563232422,79677166
2006-06-01,96.0475929691299,96.0475929691299,92.06634610855056,92.10118103027344,78184283
2006-06-02,92.56399836702235,95.7489984178552,92.07131977208519,95.36082458496094,49858174
2006-06-05,95.74900128170898,96.61492448371978,92.07132252593955,92.10118103027344,51169635
2006-06-06,91.56869396412128,92.0663490068499,89.5780671491246,90.22502136230469,73627018
2006-06-07,90.07573544877634,91.56870068656711,87.47298915234046,88.88135528564453,100805037
2006-06-08,87.69693886091352,88.08511276498491,80.32168119213783,82.18291473388672,104511487
2006-06-09,81.1179078843066,92.48436968228592,81.1179078843066,91.84239196777344,98846897
2006-06-12,91.3696311060835,94.3555680224809,88.91121438458747,89.68257904052734,61593736
2006-06-13,88.58275588207684,88.58275588207684,84.70103729885611,85.46245574951172,63382091
2006-06-14,86.09447464154955,88.88134817782623,83.92469680913372,85.44255065917969,75101186
2006-06-15,87.28885783258295,89.57806976722505,86.84096695222023,89.11524963378906,52498149
2006-06-16,90.37431050431363,94.05696538475594,90.37431050431363,91.72793579101562,60863192
2006-06-19,91.36963221945396,93.55932241873255,89.87666706510407,92.9322738647461,35025945
2006-06-20,92.56400023707509,93.16119025020183,91.1705635171946,92.06634521484375,39634604
2006-06-21,92.56400457241791,96.39595905360424,91.36963113430647,95.96299743652344,56845197
2006-06-22,96.54524858040075,98.87427837335746,96.26656256084941,97.0528564453125,42457577
2006-06-23,96.3461859267635,101.17345038343957,94.76364531171134,100.71560668945312,52768668
2006-06-26,101.02415375661049,101.90002312529036,97.29173451195037,97.65999603271484,61659515
2006-06-27,98.83445436945594,100.61606472985436,97.49575839076643,98.11285400390625,109435620
2006-06-28,95.7639273369464,100.12837147894112,95.7639273369464,99.62574005126953,56030177
2006-06-29,101.9099876061987,102.5171305126303,99.6804926255671,100.3622817993164,52730100
2006-06-30,102.009498506902,105.90116927305867,102.009498506902,105.48811340332031,52072458
2006-07-03,105.66728063955377,107.4638204772857,104.93572734801093,106.60785675048828,38339251
2006-07-04,106.49836711846089,107.86194533023318,106.2993037813453,106.9661636352539,31663257
2006-07-05,106.8964968119965,109.38477198601846,106.01564434411497,108.90204620361328,38295941
2006-07-06,107.48372829873706,108.58852620632553,106.61282865819182,107.8171615600586,37355775
2006-07-07,108.88709388302237,108.88709388302237,102.1438569662502,102.67635345458984,57829355
2006-07-10,103.11431210266896,104.49281294617226,101.84030938073334,103.84088897705078,39154175
2006-07-11,104.01009870638266,104.7814700671179,103.13422921248828,104.42813110351562,30355671
2006-07-12,103.13421369717724,109.48430145405095,100.63597917021957,109.29021453857422,64260537
2006-07-13,108.11574899149005,108.98664859769384,106.53320177719887,107.04080963134766,29174001
2006-07-14,106.00073388380792,107.79229764198259,104.58241478994739,106.4088134765625,28412300
2006-07-17,105.30400629986599,106.33912780343182,102.29318708555442,102.65647888183594,25732995
2006-07-18,102.81569080491984,103.51240901921162,98.44627769975554,99.96910095214844,55770770
2006-07-19,100.5265013293941,102.50717537447689,97.25690187716471,97.8441390991211,58942316
2006-07-20,99.2326162955425,100.52651833933776,98.06312471553356,99.0733642578125,63024777
2006-07-21,98.53587713351374,99.03353217262129,95.1120022257919,96.30139923095703,58215228
2006-07-24,95.7489961020681,97.0428977736184,93.70860528622468,96.69454193115234,46571895
2006-07-25,98.018318090316,98.63540716013819,97.24197036932091,98.31690979003906,27579168
2006-07-26,98.53589048703824,100.018902970319,97.65006147398364,99.52124786376953,25801706
2006-07-27,100.01888705309658,101.10377926493547,98.36169355302795,99.5411376953125,40973706
2006-07-28,100.39710867947008,100.39710867947008,96.94337532707279,97.44600677490234,31577196
2006-07-31,98.33680702502063,99.332117034774,97.15238651883453,97.4211196899414,29046931
2006-08-01,96.9433860083678,98.63043820902666,96.9433860083678,97.69982147216797,30444199
2006-08-02,97.44101450127584,98.97877374314741,97.44101450127584,98.62543487548828,18028876
2006-08-03,99.0335332716701,100.32744170297491,97.6749314120247,98.3368148803711,34767693
2006-08-04,98.33681110213854,99.48142031844392,95.77388306990555,96.32627868652344,43700494
2006-08-07,96.3461958142379,96.41587230983474,94.7537022008478,95.04731750488281,21285415
2006-08-08,95.10205587676572,97.51071520050608,95.05229169827744,97.25690460205078,19332271
2006-08-09,97.25689904842886,99.17287960756278,96.54525140443587,98.3368148803711,29473831
2006-08-10,98.33681621216499,98.53587956152955,96.26656668048884,97.4360580444336,23640138
2006-08-11,98.12779535112094,101.02415664801755,97.04290313862317,100.62602996826172,48343496
2006-08-14,101.02414803472736,102.71617631330484,99.7501454257626,102.44246673583984,23130442
2006-08-16,103.01478400875341,105.00541090354976,102.92520848934096,104.15939331054688,36026229
2006-08-17,105.4035201655773,106.89649184469667,103.31834154731075,106.11019134521484,46844190
2006-08-18,106.29931227136584,107.34439321367185,104.40822038385079,105.09498596191406,18878851
2006-08-21,105.00540813704559,106.98607550008597,104.0100913938291,106.2594985961914,20695564
2006-08-22,107.49368288487422,107.98138509694472,105.06014824211255,105.9808120727539,27080339
2006-08-23,105.70211439414344,106.88653487064849,105.02032532708648,105.6921615600586,20861526
2006-08-24,105.50304143552576,111.45500177686836,104.70678820511252,110.16607666015625,49476974
2006-08-25,110.9772731352807,111.97258321431941,109.58383636699365,110.5443115234375,41967707
2006-08-28,110.7782035453343,111.86309572253631,110.19594944091021,111.68394470214844,18145464
2006-08-29,112.46028850986501,113.45559861626056,110.97727618557236,111.3604736328125,34556191
2006-08-30,110.97726098332052,112.96788092342597,110.1909671700319,112.35079193115234,28771180
