Date,Open,High,Low,Close,Volume
2016-04-20,1002.6188315329748,1002.6188315329748,965.0834522809141,969.1771850585938,6405024
2016-04-21,969.434485186915,975.9210746955764,954.0880529711172,958.9134521484375,2525724
2016-04-22,956.7777874660981,963.264377908063,950.9239809459808,956.0065307617188,1964126
2016-04-25,950.1727013587952,971.8277629006584,950.1727013587952,969.53369140625,2267654
2016-04-26,968.6434599475732,986.2443721434356,965.8747771302466,984.7809448242188,2554368
2016-04-27,980.9048476753509,994.5900910306154,979.2831518419001,993.2057495117188,1848670
2016-04-28,989.329430864592,1004.63627127556,988.0637666860187,999.7910766601562,4992744
2016-04-29,995.539454684881,1005.4276097771027,992.770771259059,1002.856689453125,2372178
2016-05-02,1000.2855228143027,1000.6810489205953,988.8152657318136,999.3757934570312,1116692
2016-05-03,998.7037055463791,1000.681336646471,977.7408158854056,980.153564453125,2153118
2016-05-04,978.4921346747341,986.4620447866288,971.8077811548264,980.1138305664062,1364892
2016-05-05,980.1137080268727,984.8402257644863,974.3983750067462,977.0681762695312,1246566
2016-05-06,974.9720522441612,982.605726976157,961.5241618683797,978.29443359375,885598
2016-05-09,978.2943293105563,995.9348340192618,971.5703848394176,993.7792358398438,1821276
2016-05-10,994.7478808130369,1002.2430791310223,987.2328868824414,997.8724975585938,1158534
2016-05-11,988.8152587548353,998.9407656300808,984.859997719816,996.0534057617188,1598716
2016-05-12,996.9432362725402,1016.4623895209818,996.9432362725402,1014.9989624023438,1513082
2016-05-13,1014.5244195540453,1014.91994564354,992.8297749196632,998.0704956054688,1621730
2016-05-16,1003.8450748886789,1014.4451919189742,997.7144213580349,1009.0462036132812,1111526
2016-05-17,1014.2078983401334,1024.906897518974,1009.382499746617,1016.5810546875,1756698
2016-05-18,1014.8611120547948,1014.8611120547948,999.1191472960423,1009.027099609375,1500740
2016-05-19,1010.5690755329736,1012.546705817774,999.1384111124191,1011.34033203125,1038792
2016-05-20,1005.5464434992427,1014.841310733,997.8336813265505,1000.4046020507812,1230918
2016-05-23,1006.2185119636209,1006.9699730128364,980.9839246228024,985.43359375,1533016
2016-05-24,982.4870129195577,984.1679991534177,972.836212931941,976.0399169921875,1339158
2016-05-25,981.3006937635112,1001.8482645518794,981.3006937635112,999.27734375,1548678
2016-05-26,1000.6807705847277,1014.4845892292635,990.8322119029774,1008.0770874023438,1943248
2016-05-27,1009.8375937542511,1020.3982196549834,1008.8290792805007,1017.5503540039062,1104676
2016-05-30,1021.6441978539257,1044.9604485618306,1021.248671644923,1042.7652587890625,1349464
2016-05-31,1044.189078531112,1046.957761693884,1013.3380375745111,1016.264892578125,3722608
2016-06-01,1016.9769638969266,1046.166817279766,1016.8978779683474,1041.6380615234375,1911942
2016-06-02,1028.3682545227487,1049.84534930501,1028.3682545227487,1048.203857421875,1408756
2016-06-03,1048.6982205674174,1051.3087323433144,1036.476498534859,1040.0560302734375,1554922
2016-06-06,1047.2292630457537,1054.6224099132776,1040.3156521375556,1044.0322265625,1322026
2016-06-07,1044.6313793298625,1054.6221155514563,1044.2317498809987,1051.4849853515625,1202194
2016-06-08,1045.9307629859059,1050.4465978097012,1041.2351143222,1044.2723388671875,938266
2016-06-09,1047.9884244067232,1047.9884244067232,1021.133339914888,1029.9451904296875,1562138
2016-06-10,1025.4495971285642,1040.3358003604578,1020.3343185182655,1021.3533935546875,1396832
2016-06-13,1015.0592211156813,1020.3943154970874,1006.267369594207,1017.8566284179688,1029978
2016-06-14,1022.6316202259864,1022.6316202259864,1006.3667233721214,1013.0006103515625,977570
2016-06-15,1011.062935494781,1025.0099701636161,1007.8658985445999,1021.7930297851562,1270844
2016-06-16,1017.27715906697,1024.9300269654534,1005.6478985517624,1022.3724365234375,1145070
2016-06-17,1022.6517999108838,1043.0329026054735,1022.6517999108838,1040.07568359375,1878988
2016-06-20,1040.0758877048575,1066.2116207924118,1035.7598691270193,1062.73486328125,1872838
2016-06-21,1064.413388160303,1065.0128325313337,1055.58153540079,1059.4979248046875,1027690
2016-06-22,1059.0182332368784,1070.0879514824583,1051.7249944608131,1066.0716552734375,1761712
2016-06-23,1061.0162976678012,1062.8146303757128,1049.1473213087438,1057.159912109375,1397014
