Date,Open,High,Low,Close,Volume
2016-04-20,353.93591835212084,366.70781173282535,351.46863486002326,361.67645263671875,2840312
2016-04-21,367.6270335252407,372.12621343615893,354.8551393963791,357.3708190917969,1769805
2016-04-22,357.032175619653,362.498922538622,351.80732041858346,359.5962219238281,748456
2016-04-25,362.7407962509291,362.8375588388454,357.2740496033164,361.48297119140625,751650
2016-04-26,360.4186769955077,361.821660837885,354.5165128894846,359.7897644042969,993569
2016-04-27,359.6446055009871,364.7726979313436,355.3872877914875,359.4510803222656,648977
2016-04-28,359.45109829426923,360.80568602965707,354.22624301331723,357.5643310546875,1902333
2016-04-29,354.12945592876633,356.3548478024462,343.4862209145138,344.3570251464844,1099913
2016-05-02,346.09864986300653,356.98377616461056,344.40540799386815,355.7259216308594,966084
2016-05-03,355.19374330201504,357.03211413590975,345.808334452637,348.4207763671875,963168
2016-05-04,346.3889059255044,352.2426731111723,345.6632308432582,348.3724060058594,1040577
2016-05-05,347.0662348939274,352.6781107155947,341.74461731111325,347.5500183105469,1448922
2016-05-06,346.0019148052682,356.16136682833013,342.3251430231008,353.5973205566406,1508866
2016-05-09,342.71219710016015,357.564324929607,342.71219710016015,353.64569091796875,4231513
2016-05-10,350.9365330091616,360.56380612766424,349.2916574372572,359.7897644042969,1693745
2016-05-11,355.5807642782888,362.0150769644327,355.0486144013703,359.934814453125,3445883
2016-05-12,359.93486145345923,366.1756793301015,358.5802737944087,361.8699951171875,1198216
2016-05-13,362.9343010432478,372.36807704322774,351.8556497244613,352.8716125488281,2542678
2016-05-16,354.12945006881824,357.0321504792184,351.7105330601515,353.0167541503906,2146484
2016-05-17,355.0970388704003,359.354327163832,351.46866313262376,352.9200134277344,1457307
2016-05-18,352.2910821479525,356.7902619181064,350.3559485239899,353.4037780761719,1500718
2016-05-19,353.8875434201521,356.35482685365884,351.0332096593708,352.14593505859375,1203562
2016-05-20,355.0487208812569,357.46763837049343,352.0008612225778,354.1778869628906,1829681
2016-05-23,354.51649448407403,356.88704512148837,349.2916393031051,350.8397521972656,791265
2016-05-24,353.0651441822606,355.58082394429675,347.06624731811013,350.8397521972656,2006771
2016-05-25,351.37191371086055,354.51650613479933,347.01786266232995,352.72650146484375,1152110
2016-05-26,351.46863561968945,355.0486445451718,347.35647677210875,350.16241455078125,1578440
2016-05-27,352.0975481502181,352.0975481502181,347.45323938022113,348.75946044921875,804692
2016-05-30,349.3883901032034,353.7424408616897,342.76055137639275,351.7589111328125,2101717
2016-05-31,360.41866392434554,369.56218277998835,343.82489778613996,348.807861328125,27065544
2016-06-01,347.3565274572406,352.4362538337044,344.84084753667,347.5984191894531,1519865
