Date,Open,High,Low,Close,Volume
2016-04-20,234.2869537176954,234.2869537176954,226.96821486748303,227.29690551757812,21687934
2016-04-21,228.19532804609827,230.5180305732545,226.7929330590013,228.1405487060547,11380697
2016-04-22,227.66941839177974,229.53195972592485,225.54392161353195,227.65846252441406,11705087
2016-04-25,228.86364076735003,228.86364076735003,221.81881315850842,222.8267822265625,61157544
2016-04-26,222.49810614355022,224.36064750633798,220.76702056384593,222.83773803710938,26429236
2016-04-27,223.0459119898499,224.80985052776592,222.62957440025272,223.3745880126953,14502641
2016-04-28,222.19134556633873,223.33078513860156,217.14054394289812,218.4005126953125,61949033
2016-04-29,217.68833369750698,218.80587606630152,214.4891326183518,215.332763671875,23479680
2016-05-02,214.52199667013636,217.45825688026346,214.30287932340727,216.2640380859375,10620873
2016-05-03,216.49410547606095,218.01701487683874,213.15247826437871,213.82080078125,17571826
2016-05-04,213.43734404391662,215.5518850234082,213.20727082177217,214.32479858398438,13546285
2016-05-05,214.74113882498472,215.49710833436652,212.74711236590912,213.70030212402344,21665684
2016-05-06,213.20726346942527,214.03992401484658,211.89251550624383,212.31980895996094,14748329
2016-05-09,213.64551574014283,216.05586509826418,213.16344294305327,215.42041015625,15347096
2016-05-10,215.42039551569562,215.77099787902188,214.30286785254208,215.2998809814453,7248302
2016-05-11,212.94430261355078,214.9054613274706,212.54987677188865,213.733154296875,12339923
2016-05-12,213.86465471339685,217.85270790327152,213.6564932099524,217.54592895507812,12786216
2016-05-13,216.70228033097834,217.05288272528878,213.6455201009553,214.33575439453125,14648291
2016-05-16,214.0837414205846,215.2889306761971,212.79091985603353,213.85366821289062,9327335
2016-05-17,214.79592331995602,215.42042243005707,211.75010421895527,212.3636474609375,12157600
2016-05-18,211.65145487298236,213.09765840136666,211.2570290800939,212.67037963867188,8228838
2016-05-19,212.9223805526043,212.96620401873844,207.20325732152378,208.4303436279297,9134784
2016-05-20,208.60566701348233,209.1534750065956,204.08076216614526,204.70526123046875,18544619
2016-05-23,205.39549903205173,206.12957140948686,202.83175289943375,203.78494262695312,18365734
2016-05-24,203.35765559311855,206.85267982869118,203.35765559311855,206.07479858398438,12283217
2016-05-25,208.13453523152432,208.78094598432787,206.2281559453891,208.4303436279297,9240115
2016-05-26,208.16742176059233,208.69331802934883,206.8745855100975,207.4771728515625,14190024
2016-05-27,207.9592369813486,214.06183046897164,207.89350177891004,213.5797576904297,13401594
2016-05-30,213.952308122495,215.06983600833308,211.4542968690948,212.2650604248047,9633652
2016-05-31,212.33078982524242,213.20728857055457,209.59174953030197,209.88755798339844,23332727
2016-06-01,209.90945808344733,211.69532308096422,208.56185706161745,208.95626831054688,9042808
2016-06-02,209.15348615183603,209.7341617778392,207.09372447741254,209.5369415283203,10253825
2016-06-03,210.358627708713,210.9940825740233,209.44926156177382,210.2819366455078,8643295
2016-06-06,210.5777645495879,211.01601386441843,208.72617911290325,209.21920776367188,8672842
2016-06-07,209.75609018721173,210.56683910355216,208.518033134168,209.27401733398438,18954268
2016-06-08,209.92039868721676,209.92039868721676,207.9811516783498,209.06582641601562,12135516
2016-06-09,210.3586483500551,213.96323106566854,209.52597318461522,212.8018798828125,15643495
2016-06-10,213.42638914293337,215.70528277589165,212.17739096240973,214.0180206298828,16316760
2016-06-13,212.527959916766,215.49708758376502,211.02696228306516,214.98214721679688,10214469
2016-06-14,214.94928383029816,215.92438524934602,212.39649367901382,213.91940307617188,10923848
2016-06-15,214.7411306723193,216.16542269416254,213.3716033603493,215.7490997314453,11129082
2016-06-16,214.9602396405732,215.54091521957722,211.90346498004826,213.93035888671875,9372207
2016-06-17,214.08374197652589,214.44530021688112,212.5717884400618,213.6235809326172,10534878
2016-06-20,213.0209959589808,217.50207728233312,212.11164435555278,216.97618103027344,10758608
2016-06-21,217.8307861924487,217.84174206054942,214.67540841547998,216.2969207763672,13933068
2016-06-22,215.8367500888845,216.03395570592608,214.10566449665765,214.85069274902344,12788710
2016-06-23,214.730193513321,215.17938411749392,212.5499025661851,214.83975219726562,9837526
2016-06-24,211.4323385381779,211.4323385381779,204.52995247609346,208.48512268066406,24985097
2016-06-27,206.0857710702121,210.00807446823848,206.0857710702121,209.40548706054688,9163399
2016-06-28,209.5698226145508,210.69830625669405,209.26304368771218,209.8765869140625,7604977
2016-06-29,210.79688602438614,212.31979536961168,210.35863673137752,211.87059020996094,7523987
2016-06-30,212.98814657103858,214.19333594609262,211.90348637261903,212.3636474609375,12758283
2016-07-01,213.15248028671834,214.03992015284405,212.54987833905426,213.3058624267578,6610193
2016-07-04,213.755070985688,217.72119734639324,213.755070985688,216.20924377441406,7803505
2016-07-05,216.07776803203262,219.75904175156415,214.8068581997706,217.61163330078125,11359882
2016-07-07,217.48015220107092,219.23313472457954,216.08871327237853,216.47218322753906,12029091
2016-07-08,216.27500120159743,216.71323590974276,213.94132824408993,214.39053344726562,7140617
2016-07-11,217.15147293441723,218.01701568858815,215.94629830068814,217.48016357421875,8266601
2016-07-12,218.08275693294104,220.2192095825254,217.15147895047446,219.86862182617188,9767494
